Date	Time	matchup	record	team1	team2	B's	league
03 Sep 2017 - Summer - Play offs	8:00:00 PM	Immortals - Team Solomid	1:03:00 AM	2.38	1.56	12	NALCS
03 Sep 2017 - Summer - Play offs	4:00:00 PM	Misfits - G2 Esports	12:03:00 AM	2.8	1.43	12	EULCS
27 Aug 2017 - Summer - Play offs	8:00:00 PM	Team Solomid - Team Dignitas	3:01:00 AM	1.41	2.95	12	NALCS
27 Aug 2017 - Summer - Play offs	4:00:00 PM	H2k-Gaming - G2 Esports	12:03:00 AM	2.19	1.65	12	EULCS
26 Aug 2017 - Summer - Play offs	4:00:00 PM	Fnatic - Misfits	1:03:00 AM	1.2	4.72	11	EULCS
20 Aug 2017 - Summer - Play offs	8:00:00 PM	Counter Logic Gaming - Team EnVyUs	3:02:00 AM	1.36	3.15	12	NALCS
20 Aug 2017 - Summer - Play offs	4:00:00 PM	G2 Esports - Splyce	3:02:00 AM	1.31	3.52	12	EULCS
19 Aug 2017 - Summer - Play offs	8:00:00 PM	Cloud9 - Team Dignitas	1:03:00 AM	1.55	2.43	12	NALCS
19 Aug 2017 - Summer - Play offs	4:00:00 PM	Unicorns of Love - Misfits	12:03:00 AM	1.39	3.03	12	EULCS
13 Aug 2017 - Summer Season	7:00:00 PM	H2k-Gaming - Unicorns of Love	1:02:00 AM	1.61	2.35	8	EULCS
13 Aug 2017 - Summer Season	4:00:00 PM	Splyce - Vitality	2:00:00 AM	1.4	2.89	8	EULCS
12 Aug 2017 - Summer Season	7:00:00 PM	Fnatic - G2 Esports	2:00:00 AM	1.69	2.15	8	EULCS
12 Aug 2017 - Summer Season	4:00:00 PM	Roccat - Misfits	2:00:00 AM	2.64	1.46	8	EULCS
11 Aug 2017 - Summer Season	7:00:00 PM	Unicorns of Love - Vitality	12:02:00 AM	1.2	4	7	EULCS
11 Aug 2017 - Summer Season	4:20:00 PM	H2k-Gaming - Mysterious Monkeys	2:00:00 AM	1.09	6.9	7	EULCS
10 Aug 2017 - Summer Season	7:00:00 PM	Ninjas in Pyjamas - Fnatic	2:00:00 AM	9.08	1.06	3	EULCS
10 Aug 2017 - Summer Season	4:00:00 PM	G2 Esports - Roccat	1:02:00 AM	1.22	4.18	12	EULCS
06 Aug 2017 - Summer Season	11:00:00 PM	Cloud9 - Echo Fox	2:00:00 AM	1.27	3.58	12	NALCS
06 Aug 2017 - Summer Season	11:00:00 PM	Team Solomid - Counter Logic Gaming	2:00:00 AM	1.44	2.68	12	NALCS
06 Aug 2017 - Summer Season	10:59:00 PM	FlyQuest eSports - Phoenix1	2:00:00 AM	1.99	1.79	12	NALCS
06 Aug 2017 - Summer Season	8:00:00 PM	Team Liquid - Team Dignitas	1:02:00 AM	3.33	1.31	12	NALCS
05 Aug 2017 - Summer Season	11:00:00 PM	Echo Fox - Immortals	12:02:00 AM	3.61	1.27	11	NALCS
05 Aug 2017 - Summer Season	11:00:00 PM	FlyQuest eSports - Team Liquid	2:01:00 AM	1.89	1.86	11	NALCS
05 Aug 2017 - Summer Season	8:00:00 PM	Phoenix1 - Team Solomid	12:02:00 AM	4.17	1.21	9	NALCS
05 Aug 2017 - Summer Season	8:00:00 PM	Team EnVyUs - Cloud9	12:02:00 AM	2.58	1.48	12	NALCS
05 Aug 2017 - Summer Season	7:00:00 PM	Splyce - Unicorns of Love	12:02:00 AM	2.43	1.55	8	EULCS
05 Aug 2017 - Summer Season	4:00:00 PM	Ninjas in Pyjamas - Misfits	1:02:00 AM	4.44	1.2	8	EULCS
05 Aug 2017 - Summer Season	2:00:00 AM	Team Dignitas - Counter Logic Gaming	1:02:00 AM	1.86	1.9	12	NALCS
04 Aug 2017 - Summer Season	11:00:00 PM	Team EnVyUs - Immortals	12:02:00 AM	2.61	1.47	12	NALCS
04 Aug 2017 - Summer Season	7:00:00 PM	Fnatic - Roccat	2:00:00 AM	1.13	6.1	8	EULCS
04 Aug 2017 - Summer Season	4:00:00 PM	H2k-Gaming - Vitality	2:00:00 AM	1.2	4.39	8	EULCS
03 Aug 2017 - Summer Season	7:00:00 PM	Misfits - G2 Esports	12:02:00 AM	3.18	1.33	10	EULCS
03 Aug 2017 - Summer Season	4:00:00 PM	Splyce - Mysterious Monkeys	2:00:00 AM	1.25	3.78	10	EULCS
30 Jul 2017 - Summer Season	11:00:00 PM	Echo Fox - Team Dignitas	1:02:00 AM	3.04	1.36	12	NALCS
30 Jul 2017 - Summer Season	11:00:00 PM	Team Solomid - Team EnVyUs	2:01:00 AM	1.26	3.7	12	NALCS
30 Jul 2017 - Summer Season	8:00:00 PM	Cloud9 - FlyQuest eSports	2:00:00 AM	1.31	3.36	12	NALCS
30 Jul 2017 - Summer Season	8:00:00 PM	Counter Logic Gaming - Phoenix1	1:02:00 AM	1.27	3.63	12	NALCS
29 Jul 2017 - Summer Season	11:00:00 PM	Team Dignitas - Immortals	2:01:00 AM	2.36	1.56	12	NALCS
29 Jul 2017 - Summer Season	11:00:00 PM	Team Liquid - Cloud9	1:02:00 AM	3.44	1.29	12	NALCS
29 Jul 2017 - Summer Season	8:00:00 PM	FlyQuest eSports - Team Solomid	12:02:00 AM	4.14	1.22	12	NALCS
29 Jul 2017 - Summer Season	8:00:00 PM	Team EnVyUs - Counter Logic Gaming	12:02:00 AM	2.38	1.55	12	NALCS
29 Jul 2017 - Summer Season	7:00:00 PM	Mysterious Monkeys - Unicorns of Love	1:02:00 AM	7.1	1.11	7	EULCS
29 Jul 2017 - Summer Season	4:00:00 PM	Ninjas in Pyjamas - Roccat	2:00:00 AM	3.87	1.24	7	EULCS
29 Jul 2017 - Summer Season	2:00:00 AM	Team Liquid - Immortals	12:02:00 AM	3.18	1.32	11	NALCS
28 Jul 2017 - Summer Season	11:00:00 PM	Phoenix1 - Echo Fox	12:02:00 AM	1.77	1.99	11	NALCS
28 Jul 2017 - Summer Season	6:00:00 PM	Fnatic - Misfits	2:00:00 AM	1.33	3.24	8	EULCS
28 Jul 2017 - Summer Season	4:00:00 PM	Splyce - H2k-Gaming	12:02:00 AM	2.75	1.44	8	EULCS
27 Jul 2017 - Summer Season	7:00:00 PM	G2 Esports - Ninjas in Pyjamas	2:00:00 AM	1.05	9.33	7	EULCS
27 Jul 2017 - Summer Season	4:00:00 PM	Mysterious Monkeys - Vitality	12:02:00 AM	2.71	1.45	7	EULCS
23 Jul 2017 - Summer Season	11:00:00 PM	Team EnVyUs - FlyQuest eSports	2:01:00 AM	1.46	2.62	12	NALCS
23 Jul 2017 - Summer Season	11:00:00 PM	Counter Logic Gaming - Immortals	1:02:00 AM	1.91	1.83	12	NALCS
